image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,63,"Indian cobra, Naja naja",0.872516,58,"water snake",0.020520,360,"otter",0.012446,1,0.028949,25280,101511,0x1be00b21,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,63,"Indian cobra, Naja naja",0.603136,60,"night snake, Hypsiglena torquata",0.118764,52,"thunder snake, worm snake, Carphophis amoenus",0.081626,1,-0.273984,25264,101319,0x1be01dd6,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_15432.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.453359,62,"rock python, rock snake, Python sebae",0.054146,646,"maze, labyrinth",0.037214,0,0.433525,25264,101274,0x1be01335,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,808,"sombrero",0.134385,63,"Indian cobra, Naja naja",0.092361,115,"sea slug, nudibranch",0.026462,0,0.776221,25264,101470,0x1be01630,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,63,"Indian cobra, Naja naja",0.766488,58,"water snake",0.080787,65,"sea snake",0.049000,1,0.196070,25272,101469,0x1be00fae,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.936417,182,"Border terrier",0.017151,193,"Australian terrier",0.007150,1,-0.063842,25264,101382,0x1be01db4,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.580369,193,"Australian terrier",0.386218,184,"Irish terrier",0.110653,226,"briard",0.052269,0,0.194151,25264,101740,0x1be01f7e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.677267,255,"Leonberg",0.606233,247,"Saint Bernard, St Bernard",0.135269,233,"Bouvier des Flandres, Bouviers des Flandres",0.034201,0,0.071034,25264,101545,0x1be01a7b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.217774,982,"groom, bridegroom",0.192184,268,"Mexican hairless",0.048592,1,0.684736,25272,101653,0x1be00ff2,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","input_tensor",0,184,"Irish terrier",243,"bull mastiff",0.299598,338,"guinea pig, Cavia cobaya",0.057437,184,"Irish terrier",0.050688,766,"rotisserie",0.039476,0,0.242162,25264,101536,0x1be01b00,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2751.JPEG","SEFI-column","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.468643,191,"Airedale, Airedale terrier",0.754005,189,"Lakeland terrier",0.190642,193,"Australian terrier",0.037540,1,-0.285362,25264,101496,0x1be01efe,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2946.JPEG","SEFI-column","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.937680,191,"Airedale, Airedale terrier",0.525049,189,"Lakeland terrier",0.281038,188,"wire-haired fox terrier",0.103388,1,0.412631,25264,101522,0x1be01f6f,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_495.JPEG","SEFI-column","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.990033,191,"Airedale, Airedale terrier",0.501840,189,"Lakeland terrier",0.442872,188,"wire-haired fox terrier",0.017172,1,0.488194,25288,101843,0x1be003b7,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
