image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_vaddr,fault_byte_offset,fault_bit,timeout,crash,output_anomaly
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,443,"bib",0.583735,466,"bullet train, bullet",0.275737,889,"violin, fiddle",0.079000,0,0.262216,0xaaaaf33e9289,889,7,0,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,287,"lynx, catamount",0.999952,63,"Indian cobra, Naja naja",0.000045,57,"garter snake, grass snake",0.000001,0,-0.063237,0xaaaaf33e90f1,481,4,0,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,210,"German short-haired pointer",0.993307,63,"Indian cobra, Naja naja",0.006693,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000000,0,0.006667,0xaaaaf33e92e3,979,5,0,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,653,"milk can",0.999025,63,"Indian cobra, Naja naja",0.000911,743,"prison, prison house",0.000035,0,-0.021596,0xaaaaf33e9114,516,0,0,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.729668,282,"tiger cat",0.268430,65,"sea snake",0.000518,1,0.267733,0xaaaaf33e926b,859,0,0,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,917,"comic book",0.999996,184,"Irish terrier",0.000002,211,"vizsla, Hungarian pointer",0.000001,0,-0.385228,0xaaaaf33e91b3,675,3,0,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,838,"sunscreen, sunblock, sun blocker",0.999924,182,"Border terrier",0.000075,184,"Irish terrier",0.000001,0,-0.016422,0xaaaaf33e9139,553,6,0,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,928,"ice cream, icecream",0.999936,202,"soft-coated wheaten terrier",0.000035,184,"Irish terrier",0.000010,0,-0.447717,0xaaaaf33e908f,383,3,0,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,925,"consomme",0.999998,929,"ice lolly, lolly, lollipop, popsicle",0.000001,184,"Irish terrier",0.000001,0,-0.035905,0xaaaaf33e92b1,929,6,0,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.308578,184,"Irish terrier",0.187162,163,"bloodhound, sleuthhound",0.187162,0,0.008925,0xaaaaf33e8f11,1,3,0,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,843,"swing",0.613473,296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.372090,795,"ski",0.014427,0,0.228512,0xaaaaf33e91c9,697,0,0,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.913823,211,"vizsla, Hungarian pointer",0.035433,189,"Lakeland terrier",0.013035,1,0.000257,0xaaaaf33e9082,370,0,0,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,878,"typewriter keyboard",0.999969,191,"Airedale, Airedale terrier",0.000028,179,"Staffordshire bullterrier, Staffordshire bull terrier",0.000003,0,-0.031359,0xaaaaf33e927e,878,7,0,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,493,"chiffonier, commode",0.999262,191,"Airedale, Airedale terrier",0.000710,456,"bow",0.000010,0,-0.010559,0xaaaaf33e917b,619,1,0,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,859,"toaster",0.999993,288,"leopard, Panthera pardus",0.000006,816,"spindle",0.000001,0,-0.008871,0xaaaaf33e8f33,35,2,0,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.458824,638,"maillot",0.458824,263,"Pembroke, Pembroke Welsh corgi",0.029332,1,0.389627,0xaaaaf33e918f,639,0,0,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.475876,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.288633,212,"English setter",0.082695,0,0.014102,0xaaaaf33e8f17,7,4,0,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,783,"screw",0.999920,182,"Border terrier",0.000075,200,"Tibetan terrier, chrysanthemum dog",0.000005,0,-0.483609,0xaaaaf33e8ffe,238,5,0,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,218,"Welsh springer spaniel",0.970252,582,"grocery store, grocery, food market, market",0.029299,162,"beagle",0.000253,0,-0.399142,0xaaaaf33e9156,582,6,0,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,264,"Cardigan, Cardigan Welsh corgi",0.305081,195,"Boston bull, Boston terrier",0.305081,242,"boxer",0.144110,1,0.000171,0xaaaaf33e8f95,133,2,0,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.932842,331,"hare",0.017086,104,"wallaby, brush kangaroo",0.010363,1,0.000234,0xaaaaf33e9137,551,6,0,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,802,"snowmobile",0.679178,619,"lampshade, lamp shade",0.320821,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000001,0,0.177207,0xaaaaf33e91fb,747,4,0,0,0
"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,726,"plane, carpenter's plane, woodworking plane",0.999991,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000008,293,"cheetah, chetah, Acinonyx jubatus",0.000001,0,-0.168394,0xaaaaf33e90ae,414,5,0,0,0
"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,624,"library",0.777299,741,"prayer rug, prayer mat",0.222700,899,"water jug",0.000000,0,0.149434,0xaaaaf33e8f40,48,5,0,0,0
"n02114855/n02114855_7265.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,160,"Afghan hound, Afghan",0.999999,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.000001,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.000000,0,-0.181571,0xaaaaf33e9217,775,1,0,0,0
"n02134418/n02134418_11090.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,921,"book jacket, dust cover, dust jacket, dust wrapper",0.562170,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.437819,937,"broccoli",0.000006,0,0.383350,0xaaaaf33e8f80,112,5,0,0,0
"n02134418/n02134418_2895.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.560779,148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.340130,656,"minivan",0.046032,1,0.438729,0xaaaaf33e8fa4,148,7,0,0,0
"n02134418/n02134418_3846.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730506,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.268738,294,"brown bear, bruin, Ursus arctos",0.000666,0,0.000001,0xaaaaf33e8fb5,165,5,0,0,0
