injection_type,target,k_bits,image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,fault_addr,fault_byte_offset,fault_bit,crash
"MBU","INPUT_TENSOR",500,"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.971036,54,"hognose snake, puff adder, sand viper",0.022837,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.001875,1,-0.125085,0x0,15563,7,0
"MBU","INPUT_TENSOR",500,"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.962308,57,"garter snake, grass snake",0.013727,65,"sea snake",0.008326,1,-0.025593,0x0,74307,7,0
"MBU","INPUT_TENSOR",500,"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999950,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000028,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.000005,1,0.000024,0x0,40625,3,0
"MBU","INPUT_TENSOR",500,"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.707327,60,"night snake, Hypsiglena torquata",0.157826,58,"water snake",0.122915,1,0.270102,0x0,9707,1,0
"MBU","INPUT_TENSOR",500,"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.985963,58,"water snake",0.003138,65,"sea snake",0.003138,1,0.011438,0x0,55477,2,0
"MBU","INPUT_TENSOR",500,"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.410320,182,"Border terrier",0.248872,211,"vizsla, Hungarian pointer",0.248872,1,0.204448,0x0,79176,5,0
"MBU","INPUT_TENSOR",500,"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.930734,184,"Irish terrier",0.036088,185,"Norfolk terrier",0.017047,0,0.052768,0x0,39397,6,0
"MBU","INPUT_TENSOR",500,"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.581302,184,"Irish terrier",0.213849,226,"briard",0.129706,0,-0.029083,0x0,47303,3,0
"MBU","INPUT_TENSOR",500,"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.892932,189,"Lakeland terrier",0.034623,492,"chest",0.016355,1,0.071162,0x0,146990,5,0
"MBU","INPUT_TENSOR",500,"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,243,"bull mastiff",0.320744,202,"soft-coated wheaten terrier",0.194541,163,"bloodhound, sleuthhound",0.151509,0,-0.003241,0x0,17243,7,0
"MBU","INPUT_TENSOR",500,"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.832754,189,"Lakeland terrier",0.053236,187,"Yorkshire terrier",0.053236,1,0.009230,0x0,64680,4,0
"MBU","INPUT_TENSOR",500,"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.894258,211,"vizsla, Hungarian pointer",0.044522,209,"Chesapeake Bay retriever",0.016379,1,0.019822,0x0,115949,2,0
